State,Signals received,% of total signals,Cases identified,% of total cases,Year
Puerto Rico,24,0.06%,3,0.03%,2018
Rhode Island,23,0.06%,19,0.18%,2018
South Carolina,360,0.87%,154,1.44%,2018
South Dakota,65,0.16%,22,0.21%,2018
Tennessee,370,0.89%,169,1.58%,2018
Texas,2275,5.48%,1000,9.35%,2018
U.S. Virgin Islands,3,0.01%,0,0.00%,2018
Utah,193,0.46%,74,0.69%,2018
Vermont,85,0.20%,14,0.13%,2018
Virginia,572,1.38%,199,1.86%,2018
Washington,682,1.64%,227,2.12%,2018
West Virginia,101,0.24%,39,0.36%,2018
Wisconsin,430,1.04%,136,1.27%,2018
Wyoming,70,0.17%,12,0.11%,2018
Alabama,222,0.65%,70,0.81%,2017
Alaska,53,0.16%,9,0.10%,2017
Arizona,513,1.51%,185,2.15%,2017
Arkansas,166,0.49%,46,0.54%,2017
California,4686,13.80%,1337,15.56%,2017
Colorado,473,1.39%,121,1.41%,2017
Connecticut,185,0.54%,61,0.71%,2017
Delaware,57,0.17%,24,0.28%,2017
District of Columbia,263,0.77%,71,0.83%,2017
Florida,1924,5.67%,621,7.23%,2017
Georgia,860,2.53%,289,3.36%,2017
Guam,0,0.00%,0,0.00%,2017
Hawaii,85,0.25%,28,0.33%,2017
Idaho,66,0.19%,13,0.15%,2017
Illinois,769,2.26%,204,2.37%,2017
Indiana,351,1.03%,97,1.13%,2017
Iowa,273,0.80%,78,0.91%,2017
Kansas,259,0.76%,70,0.81%,2017
Kentucky,462,1.36%,82,0.95%,2017
Louisiana,323,0.95%,113,1.31%,2017
Maine,70,0.21%,19,0.22%,2017
Maryland,503,1.48%,122,1.42%,2017
Massachusetts,407,1.20%,99,1.15%,2017
Michigan,1112,3.27%,314,3.65%,2017
Minnesota,305,0.90%,79,0.92%,2017
Mississippi,105,0.31%,42,0.49%,2017
Missouri,543,1.60%,147,1.71%,2017
Montana,128,0.38%,27,0.31%,2017
Nebraska,267,0.79%,69,0.80%,2017
Nevada,378,1.11%,209,2.43%,2017
New Hampshire,40,0.12%,5,0.06%,2017
New Jersey,514,1.51%,168,1.95%,2017
New Mexico,193,0.57%,40,0.47%,2017
New York,1125,3.31%,342,3.98%,2017
North Carolina,1062,3.13%,233,2.71%,2017
North Dakota,58,0.17%,24,0.28%,2017
Ohio,1310,3.86%,383,4.46%,2017
Oklahoma,278,0.82%,82,0.95%,2017
Oregon,364,1.07%,85,0.99%,2017
Pennsylvania,700,2.06%,213,2.48%,2017
Rhode Island,33,0.10%,11,0.13%,2017
South Carolina,460,1.35%,120,1.40%,2017
South Dakota,92,0.27%,18,0.21%,2017
Tennessee,436,1.28%,113,1.31%,2017
Texas,2397,7.06%,815,9.48%,2017
U.S. Virgin Islands,0,0.00%,4,0.05%,2017
Utah,135,0.40%,35,0.41%,2017
Vermont,52,0.15%,14,0.16%,2017
Virginia,612,1.80%,161,1.87%,2017
Washington,582,1.71%,170,1.98%,2017
West Virginia,62,0.18%,16,0.19%,2017
Wisconsin,300,0.88%,94,1.09%,2017
Wyoming,49,0.14%,13,0.15%,2017
Alabama,205,0.64%,48,0.64%,2016
Alaska,67,0.21%,11,0.15%,2016
Arizona,541,1.69%,150,1.99%,2016
Arkansas,165,0.52%,47,0.62%,2016
California,4652,14.57%,1354,17.99%,2016
Colorado,476,1.49%,129,1.71%,2016
Connecticut,225,0.70%,55,0.73%,2016
Delaware,69,0.22%,21,0.28%,2016
District of Columbia,405,1.27%,85,1.13%,2016
Florida,1793,5.62%,562,7.47%,2016
Georgia,775,2.43%,260,3.45%,2016
Guam,0,0.00%,0,0.00%,2016
Hawaii,74,0.23%,31,0.41%,2016
Idaho,78,0.24%,15,0.20%,2016
Illinois,734,2.30%,210,2.79%,2016
Indiana,317,0.99%,86,1.14%,2016
Iowa,239,0.75%,74,0.98%,2016
Kansas,224,0.70%,55,0.73%,2016
Kentucky,358,1.12%,89,1.18%,2016
Louisiana,374,1.17%,113,1.50%,2016
Maine,61,0.19%,18,0.24%,2016
Maryland,603,1.89%,166,2.21%,2016
Massachusetts,330,1.03%,90,1.20%,2016
Michigan,930,2.91%,254,3.37%,2016
Minnesota,381,1.19%,70,0.93%,2016
Mississippi,125,0.39%,54,0.72%,2016
Missouri,512,1.60%,141,1.87%,2016
Montana,73,0.23%,16,0.21%,2016
Nebraska,176,0.55%,47,0.62%,2016
Nevada,341,1.07%,175,2.32%,2016
New Hampshire,83,0.26%,13,0.17%,2016
New Jersey,603,1.89%,198,2.63%,2016
New Mexico,143,0.45%,40,0.53%,2016
New York,1184,3.71%,333,4.42%,2016
North Carolina,769,2.41%,188,2.50%,2016
North Dakota,72,0.23%,19,0.25%,2016
Northern Marianas Islands,0,0.00%,0,0.00%,2016
Ohio,1463,4.58%,377,5.01%,2016
Oklahoma,298,0.93%,91,1.21%,2016
Oregon,342,1.07%,79,1.05%,2016
Pennsylvania,690,2.16%,161,2.14%,2016
Puerto Rico,45,0.14%,3,0.04%,2016
Rhode Island,44,0.14%,8,0.11%,2016
South Carolina,345,1.08%,79,1.05%,2016
South Dakota,116,0.36%,19,0.25%,2016
Tennessee,387,1.21%,109,1.45%,2016
Texas,2369,7.42%,682,9.06%,2016
U.S. Virgin Islands,10,0.03%,0,0.00%,2016
Utah,222,0.70%,42,0.56%,2016
Vermont,56,0.18%,6,0.08%,2016
Virginia,706,2.21%,155,2.06%,2016
Washington,606,1.90%,170,2.26%,2016
West Virginia,55,0.17%,21,0.28%,2016
Wisconsin,346,1.08%,66,0.88%,2016
Wyoming,50,0.16%,14,0.19%,2016
Alabama,255,0.95%,56,1.01%,2015
Alaska,50,0.19%,9,0.16%,2015
Arizona,439,1.64%,124,2.23%,2015
Arkansas,140,0.52%,37,0.67%,2015
California,4250,15.83%,1016,18.30%,2015
Colorado,381,1.42%,83,1.50%,2015
Connecticut,140,0.52%,40,0.72%,2015
Delaware,37,0.14%,8,0.14%,2015
District of Columbia,372,1.39%,72,1.30%,2015
Florida,1706,6.36%,421,7.58%,2015
Georgia,733,2.73%,204,3.68%,2015
Guam,5,0.02%,0,0.00%,2015
Hawaii,81,0.30%,27,0.49%,2015
Idaho,66,0.25%,8,0.14%,2015
Illinois,655,2.44%,129,2.32%,2015
Indiana,279,1.04%,57,1.03%,2015
Iowa,166,0.62%,37,0.67%,2015
Kansas,150,0.56%,43,0.77%,2015
Kentucky,276,1.03%,65,1.17%,2015
Louisiana,313,1.17%,81,1.46%,2015
Maine,73,0.27%,10,0.18%,2015
Maryland,500,1.86%,124,2.23%,2015
Massachusetts,348,1.30%,66,1.19%,2015
Michigan,815,3.04%,156,2.81%,2015
Minnesota,381,1.42%,55,0.99%,2015
Mississippi,120,0.45%,40,0.72%,2015
Missouri,499,1.86%,72,1.30%,2015
Montana,74,0.28%,22,0.40%,2015
Nebraska,122,0.45%,25,0.45%,2015
Nevada,419,1.56%,147,2.65%,2015
New Hampshire,56,0.21%,15,0.27%,2015
New Jersey,617,2.30%,183,3.30%,2015
New Mexico,116,0.43%,31,0.56%,2015
New York,1130,4.21%,302,5.44%,2015
North Carolina,552,2.06%,120,2.16%,2015
North Dakota,68,0.25%,21,0.38%,2015
Northern Marianas Islands,0,0.00%,0,0.00%,2015
Ohio,1224,4.56%,301,5.42%,2015
Oklahoma,170,0.63%,48,0.86%,2015
Oregon,309,1.15%,64,1.15%,2015
Pennsylvania,621,2.31%,112,2.02%,2015
Puerto Rico,30,0.11%,0,0.00%,2015
Rhode Island,58,0.22%,10,0.18%,2015
South Carolina,292,1.09%,61,1.10%,2015
South Dakota,71,0.26%,16,0.29%,2015
Tennessee,321,1.20%,73,1.32%,2015
Texas,1963,7.31%,455,8.20%,2015
U.S. Virgin Islands,4,0.01%,0,0.00%,2015
Utah,112,0.42%,23,0.41%,2015
Vermont,27,0.10%,4,0.07%,2015
Virginia,719,2.68%,153,2.76%,2015
Washington,488,1.82%,135,2.43%,2015
West Virginia,75,0.28%,10,0.18%,2015
Wisconsin,277,1.03%,51,0.92%,2015
Wyoming,35,0.13%,6,0.11%,2015
