office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Denver, CO",,ERO,Denver Field Office,TRUE,12445 East Caley Avenue,Centennial,CO,80111,80111,"12445 East Caley Avenue, Centennial, CO 80111","Denver Metro Area, to include Clear Creek and Summit County",39.6015038,-104.8449885
"Durango, CO",,ERO,Denver Field Office,TRUE,32 Sheppard Drive,Durango,CO,81303,81303,"32 Sheppard Drive, Durango, CO 81303","Counties of Archuleta, Dolores, Hinsdale, La Plata, Montezuma, San Juan, San Miguel.",37.2371432,-107.874248
"Frederick, CO",,ERO,Denver Field Office,TRUE,3770 Puritan Way Unit J,Frederick,CO,80516,80516,"3770 Puritan Way Unit J, Frederick, CO 80516","Counties of Broomfield, Boulder, Larimer, Weld, Morgan, Logan, Washington, Yuma, Phillips, Sedgwick, Kit Carson, Cheyenne",40.081932,-104.985034
"Glenwood Springs, CO",,ERO,Denver Field Office,TRUE,100 Midland Avenue Suite 210,Glenwood Springs,CO,81601,81601,"100 Midland Avenue Suite 210, Glenwood Springs, CO 81601","Counties of Garfield, Eagle, Pitkin, Lake",39.558475,-107.358003
"Grand Junction, CO",,ERO,Denver Field Office,TRUE,569 S. Commercial Drive,Grand Junction,CO,81505,81505,"569 S. Commercial Drive, Grand Junction, CO 81505","Counties of Mesa, Montrose, Delta, Ouray, and Gunnison",39.087109,-108.5858803
"Pueblo/Florence, CO",,ERO,Denver Field Office,TRUE,935 Highway 67,Florence,CO,81226,81226,"935 Highway 67, Florence, CO 81226","Counties of Chafee, Custer, Fremont, Pueblo, El Paso, Teller, Otero, Prowers, Kiowa, Crowley, Baca, Bent Prowers.",38.4265663,-105.1156314
"Cincinnati, OH",,ERO,Detroit Field Office,TRUE,9875 Redhill Drive,Blue Ash,OH,45242,45242,"9875 Redhill Drive, Blue Ash, OH 45242","Counties of Darke, Shelby, Miami, Preble, Montgomery, Greene, Butler, Warren, Clinton, Hamilton, Clermont, Highland, Brown, Adams, Pike, Ross, Scioto, Jackson, Gallia, Meigs, and Lawrence",39.2382289,-84.380236
"Cleveland, OH",,ERO,Detroit Field Office,TRUE,925 Keynote Circle,Brooklyn Heights,OH,44131,44131,"925 Keynote Circle, Brooklyn Heights, OH 44131",Northern Ohio,41.4117491,-81.6655486
"Columbus, OH",,ERO,Detroit Field Office,TRUE,675 Brooksedge Boulevard,Westerville,OH,43081,43081,"675 Brooksedge Boulevard, Westerville, OH 43081","Counties of Logan, Champaign, Clark, Union, Madison, Fayette, Morrow, Delaware, Franklin, Pickaway, Know, Licking, Fairfield, Hocking, Perry, Athens, Morgan, Washington, Monroe, Noble, Guernsey Belmont Harrison, Jefferson, Muskingum, and Coshocton",40.1081252,-82.9327112
"Detroit, MI",,ERO,Detroit Field Office,TRUE,260 Mt. Elliott,Detroit,MI,48207,48207,"260 Mt. Elliott, Detroit, MI 48207",State of Michigan,42.3429067,-83.0093223
"Albuquerque, NM",,ERO,El Paso Field Office,TRUE,5441 Watson Drive South East,Albuquerque,NM,87106,87106,"5441 Watson Drive South East, Albuquerque, NM 87106","Counties of San Juan, Rio Arriba, Taos, Colfax, San Miguel, Union, Harding, Mora, Santa Fe, Los Alamos, Sandoval, McKinley, Cibola, Bernalillo, Valencia, Torrance, Guadalupe, Quay and Socorro",35.0012667,-106.6174336
"El Paso, TX",,ERO,El Paso Field Office,TRUE,11541 Montana Avenue Suite E,El Paso,TX,79936,79936,"11541 Montana Avenue Suite E, El Paso, TX 79936","El Paso TX, El Paso County, West Texas, Southern New Mexico",31.804214,-106.2910235
"Midland, TX",,ERO,El Paso Field Office,TRUE,1515 Idlewild Drive,Midland,TX,79703,79703,"1515 Idlewild Drive, Midland, TX 79703","Counties of Andrews, Crane, Ector, Martin, Midland, Upton",31.9969824,-102.1481869
